Account,T/D,S/D,Currency,Type,Side,Symbol,Qty,Price,Exec Time,Comm,SEC,TAF,NSCC,Nasdaq,ECN Remove,ECN Add,Gross Proceeds,Net Proceeds,Clr Broker,Liq,Note
DEMO2552B,05/18/2026,05/18/2026,USD,future,B,ESM6,1,7404.00,17:34:38,0,0,0,0,0,0,0,-370200.0,-370200.0,SIM,,
DEMO2552B,05/18/2026,05/18/2026,USD,future,S,ESM6,1,7408.50,17:35:32,0,0,0,0,0,0,0,370425.00,370425.00,SIM,,
